indiv_id,F_income90,F_attn_sm_college,income00,attn_sm_college,age,male,female,white,black,other,married,num_siblings,birth_weight
6571039,5535,0,21570,0,21,1,0,0,1,0,0,4,108
6571033,42238,1,14934,1,28,0,1,0,1,0,0,2,106
6577043,29717,0,6000,1,19,1,0,0,1,0,0,2,122
6577035,45669,0,12600,0,43,0,1,0,1,0,0,1,88
6591039,48160,1,18000,1,23,0,1,0,0,1,0,0,109
6616037,22138,0,11340,1,21,0,1,0,1,0,0,3,159
6616038,40956,1,11340,1,18,0,1,0,1,0,0,1,125
6626030,55346,1,14934,0,37,1,0,0,1,0,0,4,88
6626178,64570,0,11340,1,44,0,1,0,1,0,0,3,999
6626038,29955,0,5154,1,23,1,0,0,1,0,0,1,86
6660032,22138,0,6471,0,27,1,0,0,1,0,0,3,109
6674035,48475,0,12600,0,17,0,1,0,1,0,0,4,135
6680030,14759,0,19587,1,27,0,1,0,1,0,0,0,998
6684041,3397,0,7601,0,23,1,0,0,1,0,0,2,93
6684042,55472,0,900,1,22,0,1,0,1,0,0,2,90
6716032,68998,0,72161,1,26,0,1,0,0,1,0,1,104
6724181,9224,0,19000,0,30,1,0,0,1,0,0,2,998
6724040,73795,0,29689,0,24,1,0,0,1,0,0,1,87
6736038,46122,0,32163,1,28,0,1,0,1,0,0,1,97
6750185,48538,1,47420,1,25,0,1,0,1,0,0,3,133
6765035,29541,0,11340,0,26,1,0,0,1,0,0,2,150
6779040,950,1,41235,1,26,0,1,0,1,0,0,1,82
6780039,1727,0,3093,0,19,0,1,0,0,1,0,3,97
6801032,19960,0,276,0,40,1,0,0,1,0,0,2,88
6802033,128773,1,15463,0,40,1,0,0,1,0,0,2,998
6822032,27465,0,60000,1,22,0,1,0,1,0,0,2,134
6830031,43723,1,20467,1,25,1,0,0,1,0,0,1,114
6832039,29518,0,17600,1,27,1,0,0,1,0,0,1,108
6845043,1711,1,21916,0,23,1,0,0,1,0,0,4,129
6867003,4428,0,11340,0,67,1,0,0,0,1,0,13,88
6867036,51327,1,31500,1,24,1,0,0,1,0,0,2,104
18045,6457,0,15463,0,20,0,1,1,0,0,0,1,101
40038,39623,0,50000,0,27,1,0,1,0,0,0,2,123
50034,122830,1,93294,1,26,0,1,1,0,0,0,1,120
51034,36897,0,12600,0,16,1,0,1,0,0,0,2,110
60038,41822,1,14934,1,20,1,0,1,0,0,0,3,147
106182,42432,0,13471,0,23,1,0,0,1,0,0,2,998
117031,18449,1,35000,1,25,1,0,1,0,0,0,2,110
122036,93113,0,12600,1,27,1,0,1,0,0,0,2,139
122039,93113,0,11340,1,21,0,1,1,0,0,0,2,134
203031,123564,1,9600,1,30,0,1,1,0,0,0,3,114
203033,123564,1,27000,1,23,0,1,1,0,0,0,3,156
214032,145745,1,3800,0,16,0,1,1,0,0,0,1,147
236034,51380,1,6137,1,18,0,1,1,0,0,0,4,113
250033,54481,0,8000,1,20,1,0,1,0,0,0,1,151
266036,30994,0,515,1,19,0,1,1,0,0,0,1,123
323035,70105,1,5177,0,21,0,1,1,0,0,1,1,112
433039,13504,0,11699,1,23,0,1,1,0,0,1,1,136
455035,13868,1,2157,1,20,0,1,1,0,0,0,1,122
479031,92212,1,12942,0,23,1,0,1,0,0,0,1,998
517034,77485,1,75400,1,24,1,0,1,0,0,0,1,136
548040,180593,1,36000,1,22,0,1,1,0,0,0,5,97
548042,180593,1,15000,0,20,1,0,1,0,0,0,5,120
548039,180593,1,40000,0,22,1,0,1,0,0,0,5,107
597038,1616,0,11340,0,19,1,0,1,0,0,0,2,128
620038,62726,0,30000,1,25,0,1,1,0,0,0,2,126
652037,50625,0,56698,1,24,1,0,1,0,0,0,1,114
655033,98851,1,2000,0,18,1,0,1,0,0,0,2,152
674031,66534,0,18556,1,22,0,1,1,0,0,0,1,129
692039,102174,1,27502,1,25,0,1,1,0,0,0,1,137
734034,112924,1,2157,0,21,1,0,1,0,0,0,3,134
783033,5703,1,7550,1,19,0,1,1,0,0,0,2,139
789031,2214,1,11699,0,21,0,1,1,0,0,0,4,998
863036,27673,0,50000,1,23,1,0,1,0,0,0,3,128
908036,51656,0,25884,0,26,1,0,1,0,0,0,1,83
922036,60881,0,72000,1,22,1,0,1,0,0,0,2,122
922038,60881,0,5000,0,18,1,0,1,0,0,0,2,112
998031,135171,1,32356,0,27,1,0,1,0,0,0,2,138
998032,135171,1,10785,1,24,0,1,1,0,0,0,2,146
1033032,4160,1,7522,0,17,0,1,0,1,0,0,3,112
1051048,51656,1,17600,1,18,0,1,1,0,0,0,1,137
1066032,39665,1,2319,0,33,1,0,1,0,0,0,2,134
1083031,8302,1,324,0,21,1,0,1,0,0,0,1,165
1084037,81174,0,21570,0,20,0,1,1,0,0,0,3,92
1126039,12453,1,3093,1,18,1,0,1,0,0,0,4,131
1141030,83207,1,11699,0,40,1,0,1,0,0,0,5,88
1142034,44277,0,11699,1,23,1,0,1,0,0,1,1,59
1151037,180593,1,64711,1,28,0,1,1,0,0,1,1,121
1163046,36344,1,2157,1,21,0,1,1,0,0,0,3,122
1185034,78254,1,10785,1,22,0,1,1,0,0,0,2,122
1306032,110692,1,5000,0,18,0,1,1,0,0,0,1,103
1315038,43585,1,39905,1,24,1,0,1,0,0,0,3,140
1315040,43585,1,9278,1,20,1,0,1,0,0,0,3,141
1335059,4752,1,8247,0,21,1,0,1,0,0,0,3,133
1335063,4752,1,7216,0,16,1,0,1,0,0,0,3,159
1391034,11484,1,2157,0,22,1,0,1,0,0,0,2,145
1431173,67675,1,26920,1,22,1,0,1,0,0,1,1,125
1434037,8543,1,4000,1,21,1,0,1,0,0,0,2,123
1462033,33679,1,22410,0,16,0,1,1,0,0,0,1,103
1516033,76562,1,9278,1,23,0,1,1,0,0,0,2,119
1522042,107002,1,30926,1,28,0,1,1,0,0,0,2,117
1533033,54793,1,6471,1,24,0,1,1,0,0,1,5,110
1533034,54793,1,80889,1,22,1,0,1,0,0,0,5,114
1540032,95960,1,5154,1,21,1,0,1,0,0,0,2,159
1597032,103019,0,7216,1,19,0,1,1,0,0,0,2,146
1613041,55129,1,61852,1,25,1,0,1,0,0,0,1,151
1613042,76193,1,27833,1,23,0,1,1,0,0,0,2,149
1613039,76193,1,27833,1,26,1,0,1,0,0,0,2,143
1645035,94088,1,3608,0,17,0,1,1,0,0,0,2,128
1645037,13837,1,10740,0,17,0,1,1,0,0,0,1,130
1645031,125451,0,70104,1,25,0,1,1,0,0,1,2,118
1762054,5535,0,15000,0,17,0,1,0,0,1,0,3,137
1762048,5535,0,20000,0,19,0,1,0,0,1,0,3,107
1762044,5535,0,11699,0,23,0,1,0,0,1,0,3,117
1774033,71950,1,3000,0,16,0,1,1,0,0,0,1,112
1784035,146250,1,15463,0,25,0,1,1,0,0,0,2,103
1784033,146250,1,11699,1,27,1,0,1,0,0,0,2,998
1841038,108356,1,11340,1,25,1,0,1,0,0,0,4,116
1862032,29518,0,17600,1,28,1,0,0,0,1,0,1,998
1919045,77485,1,11699,0,22,0,1,1,0,0,0,2,127
1919042,77485,1,11699,1,27,0,1,1,0,0,1,2,107
1919046,62305,1,1500,0,22,0,1,1,0,0,0,2,119
2055035,16881,1,20000,1,21,1,0,1,0,0,0,2,121
2059034,495,1,1941,0,17,0,1,1,0,0,0,2,100
2091174,27607,0,20800,1,21,0,1,1,0,0,0,2,30
2106031,31175,1,35591,0,32,1,0,1,0,0,0,2,998
2106032,31175,1,33434,0,27,1,0,1,0,0,1,2,111
2117031,102653,0,25772,1,27,0,1,1,0,0,1,1,998
2237033,122684,1,4123,0,18,1,0,1,0,0,0,1,141
2243035,52277,1,3093,0,17,0,1,1,0,0,0,1,109
2297035,12914,1,15463,1,20,0,1,1,0,0,0,1,123
2422038,7726,1,20000,1,19,1,0,1,0,0,0,4,998
2435036,83643,0,41235,1,23,0,1,1,0,0,0,2,122
2435033,83643,0,72161,1,29,0,1,1,0,0,0,2,111
2516030,48141,0,15457,0,37,0,1,1,0,0,1,1,88
2526036,922,0,18360,0,18,1,0,1,0,0,0,1,144
2577030,34883,0,24806,1,27,1,0,1,0,0,0,1,998
2590048,79,1,4000,0,17,1,0,1,0,0,0,3,80
2614037,36897,0,35187,0,17,1,0,1,0,0,0,2,105
